Date_Time,Open,High,Low,Close,Volume,Source
2021-01-01 00:01:00,28961.67,29017.5,28961.01,29009.91,58.477501,binance
2021-01-01 00:02:00,29009.54,29016.71,28973.58,28989.3,42.470329,binance
2021-01-01 00:03:00,28989.68,28999.85,28972.33,28982.69,30.360677,binance
2021-01-01 00:04:00,28982.67,28995.93,28971.8,28975.65,24.124339,binance
2021-01-01 00:05:00,28975.65,28979.53,28933.16,28937.11,22.396014,binance
2021-01-01 00:06:00,28937.11,28963.25,28937.1,28943.87,20.480294,binance
2021-01-01 00:07:00,28943.88,28954.48,28930.0,28934.84,20.962343,binance
2021-01-01 00:08:00,28934.84,28936.15,28889.24,28900.0,52.645478,binance
2021-01-01 00:09:00,28900.0,28920.06,28846.28,28858.94,98.083975,binance
2021-01-01 00:10:00,28858.94,28883.2,28848.06,28848.68,42.6659,binance
2021-01-01 00:11:00,28848.69,28862.12,28782.88,28824.35,96.600376,binance
2021-01-01 00:12:00,28824.36,28858.28,28818.75,28838.68,42.540963,binance
2021-01-01 00:13:00,28838.69,28839.08,28706.16,28706.64,104.225054,binance
2021-01-01 00:14:00,28716.85,28764.23,28690.17,28752.8,156.587294,binance
2021-01-01 00:15:00,28752.8,28775.99,28720.91,28769.77,45.695385,binance
2021-01-01 00:16:00,28769.77,28819.14,28769.76,28810.0,28.328974,binance
2021-01-01 00:17:00,28812.34,28816.34,28783.13,28800.57,34.035514,binance
2021-01-01 00:18:00,28800.58,28830.79,28800.58,28823.21,31.4205,binance
2021-01-01 00:19:00,28823.21,28852.48,28820.72,28820.72,35.359406,binance
2021-01-01 00:20:00,28822.17,28822.17,28751.58,28759.35,35.799104,binance
2021-01-01 00:21:00,28757.97,28796.23,28744.09,28796.23,44.561433,binance
2021-01-01 00:22:00,28796.23,28802.19,28780.11,28796.29,18.573683,binance
2021-01-01 00:23:00,28796.56,28835.44,28796.56,28835.01,38.595434,binance
2021-01-01 00:24:00,28835.01,28846.46,28822.03,28846.46,23.78713,binance
2021-01-01 00:25:00,28844.88,28871.28,28841.66,28871.28,37.069495,binance
2021-01-01 00:26:00,28871.28,28875.55,28822.01,28844.48,50.016234,binance
2021-01-01 00:27:00,28844.48,28844.48,28823.49,28839.57,31.830089,binance
2021-01-01 00:28:00,28839.58,28844.1,28828.92,28833.96,10.930214,binance
2021-01-01 00:29:00,28833.73,28838.54,28822.0,28836.63,14.608584,binance
2021-01-01 00:30:00,28836.63,28875.75,28836.62,28875.75,50.438674,binance
